iter	Passed	Remaining
0	1	141
1	2	124
2	3	116
3	4	106
4	5	105
5	6	103
6	7	105
7	9	103
8	10	102
9	11	100
10	12	99
11	13	97
12	14	96
13	15	95
14	16	93
15	17	92
16	18	92
17	19	91
18	21	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	28	81
26	29	80
27	30	79
28	31	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	68
37	41	68
38	42	67
39	44	66
40	45	64
41	45	62
42	46	61
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	56
49	55	55
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	47
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	81	31
72	83	31
73	87	30
74	89	29
75	92	29
76	95	28
77	99	28
78	102	27
79	106	26
80	110	25
81	112	24
82	114	23
83	115	22
84	117	20
85	118	19
86	120	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
