iter	Passed	Remaining
0	241	241684
1	247	123416
2	250	83315
3	253	63051
4	255	50773
5	259	43031
6	261	37088
7	262	32572
8	263	29068
9	265	26285
10	266	24001
11	268	22074
12	269	20441
13	270	19059
14	271	17857
15	273	16791
16	274	15849
17	275	15018
18	278	14373
19	280	13730
20	281	13116
21	282	12555
22	283	12043
23	284	11580
24	286	11157
25	287	10760
26	288	10413
27	290	10074
28	294	9844
29	295	9545
30	296	9261
31	297	8997
32	298	8747
33	299	8513
34	300	8291
35	302	8088
36	303	7895
37	304	7707
38	307	7588
39	309	7418
40	310	7255
41	313	7156
42	315	7010
43	316	6872
44	317	6740
45	318	6614
46	320	6498
47	329	6537
48	335	6503
49	338	6433
50	344	6410
51	346	6319
52	348	6233
53	350	6141
54	352	6057
55	354	5971
56	358	5927
57	359	5841
58	361	5763
59	362	5682
60	363	5602
61	365	5524
62	366	5449
63	367	5378
64	369	5309
65	374	5296
66	376	5241
67	377	5178
68	379	5126
69	381	5065
70	382	5005
71	383	4946
72	386	4913
73	389	4868
74	390	4815
75	391	4762
76	392	4709
77	394	4658
78	395	4608
79	396	4560
80	397	4513
81	399	4468
82	401	4441
83	403	4405
84	405	4362
85	406	4320
86	407	4279
87	409	4239
88	410	4199
89	411	4160
90	412	4123
91	414	4086
92	418	4079
93	419	4044
94	420	4009
95	422	3975
96	423	3940
97	424	3907
98	425	3875
99	427	3843
100	428	3812
101	429	3782
102	432	3762
103	433	3734
104	434	3705
105	435	3677
106	437	3649
107	438	3622
108	439	3596
109	441	3571
110	444	3561
111	446	3541
112	448	3517
113	449	3492
114	450	3468
115	452	3444
116	452	3418
117	454	3395
118	455	3372
119	456	3349
120	461	3350
121	462	3328
122	463	3306
123	465	3286
124	466	3268
125	468	3250
126	469	3228
127	470	3208
128	474	3202
129	476	3186
130	477	3167
131	478	3147
132	479	3128
133	481	3110
134	482	3092
135	484	3074
136	485	3059
137	487	3042
138	490	3041
139	492	3024
140	493	3007
141	494	2988
142	496	2973
143	497	2957
144	498	2941
145	500	2925
146	501	2909
147	505	2907
148	506	2893
149	507	2877
150	509	2862
151	510	2847
152	511	2832
153	512	2818
154	514	2803
155	515	2789
156	516	2775
157	521	2777
158	522	2763
159	523	2749
160	524	2733
161	525	2720
162	527	2706
163	528	2693
164	529	2680
165	531	2667
166	532	2654
167	534	2645
168	535	2635
169	537	2623
170	539	2613
171	540	2602
172	541	2590
173	543	2579
174	544	2568
175	549	2570
176	550	2559
177	551	2547
178	552	2535
179	554	2525
180	555	2514
181	556	2502
